title,images,category,description,price,sku
SENSOR SOLAR STREETLIGHT OVAL,http://www.platoled.com/assets/img/categories/ST%20Inbuilt/ST%20Inbuilt-8.webp,platoled,"Product name SENSOR SOLAR STREETLIGHT OVAL
Material ABS
Color Black
IP Rating NA
Color Temp 65K
CRI NA
LM/W 100
PF NA
Vol NA
Available in
500 W | 800 W | 1000 W",,
SENSOR SOLAR STREETLIGHT M411,http://www.platoled.com/assets/img/categories/ST%20Inbuilt/ST%20Inbuilt-9.webp,platoled,"Product name SENSOR SOLAR STREETLIGHT M411
Material Aluminium
Color Black
IP Rating IP65
Color Temp 65K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
800 W | 1200 W",,
SOLAR STREETLIGHT 3030,http://www.platoled.com/assets/img/categories/ST%20Inbuilt/ST%20Inbuilt-12.webp,platoled,"Product name SOLAR STREETLIGHT 3030
Material Aluminium
Color Gray
IP Rating IP66
Color Temp 65K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
200 W | 300 W",,
SOLAR STREETLIGHT KD,http://www.platoled.com/assets/img/categories/ST%20Solar/ST%20Solar-2.webp,platoled,"Product name SOLAR STREETLIGHT KD
Material Aluminium
Color Gray
IP Rating IP65
Color Temp 65K
CRI NA
LM/W 80
PF NA
Vol NA
Available in
600 W | 800 W | 1000 W",,
SOLAR STREETLIGHT GD,http://www.platoled.com/assets/img/categories/ST%20Solar/ST%20Solar-5.webp,platoled,"Product name SOLAR STREETLIGHT GD
Material Aluminium
Color Gray
IP Rating IP65
Color Temp 65K
CRI NA
LM/W 80
PF NA
Vol NA
Available in
600 W | 800 W | 1000 W",,
B011,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_01.webp,platoled,"Product name B011
Material ABS
Color BLACK+GOLD | WHITE+GOLD |BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
24 W",,
OL B249 BLK,http://www.platoled.com/assets/img/categories/Bulkhead/B249.webp,platoled,"Product name OL B249 BLK
Material ACRYLIC + IRON
Color BLACK
IP Rating NA
Color Temp 45K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
10 W",,
OUTDOOR LIGHT MH B078,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_02.webp,platoled,"Product name OUTDOOR LIGHT MH B078
Material Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
10 W",,
OUTDOOR LIGHT PT 705,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_03.webp,platoled,"Product name OUTDOOR LIGHT PT 705
Material Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
8 W",,
OUTDOOR LIGHT WH B131,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_04.webp,platoled,"Product name OUTDOOR LIGHT WH B131
Material * BACK: ALLOY ALUMINUM
Color WHITE
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
8 W",,
OUTDOOR LIGHT WH-GLD B144,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_05.webp,platoled,"Product name OUTDOOR LIGHT WH-GLD B144
Material BACK: ALLOY ALUMINUM
Color WHITE+GOLD
IP Rating NA
Color Temp 65K|35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
7 W",,
OUTDOOR LIGHT BLK B127,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_06.webp,platoled,"Product name OUTDOOR LIGHT BLK B127
Material DIE CAST ALUMINUM
Color BLACK
IP Rating NA
Color Temp 35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
5 W",,
